"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","Hazardous","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days PM2.5","# Days PM10"
"37003","Alexander County, NC","302","275","26","1",".",".",".","105","50","38",".",".","243",".","59"
"37011","Avery County, NC","283","246","37",".",".",".",".","98","53","39",".",".","214","69","."
"37021","Buncombe County, NC","365","261","104",".",".",".",".","99","60","43",".",".","129","236","."
"37027","Caldwell County, NC","245","220","25",".",".",".",".","97","51","40",".",".","245",".","."
"37031","Carteret County, NC","352","319","31","2",".",".",".","105","50","38",".",".","352",".","."
"37033","Caswell County, NC","350","325","25",".",".",".",".","97","49","36",".",".","244",".","106"
"37035","Catawba County, NC","347","212","132","3",".",".",".","115","61","43",".",".",".","347","."
"37051","Cumberland County, NC","365","201","163","1",".",".",".","129","67","48",".",".","118","245","2"
"37057","Davidson County, NC","362","195","164","3",".",".",".","126","63","47",".",".",".","362","."
"37063","Durham County, NC","365","163","196","4","2",".",".","181","69","52",".",".","70","295","."
"37065","Edgecombe County, NC","357","266","91",".",".",".",".","99","59","41",".",".","128","229","."
"37067","Forsyth County, NC","365","165","193","6","1",".",".","154","71","52",".","2","105","258","."
"37075","Graham County, NC","242","188","49","5",".",".",".","115","67","46",".",".","242",".","."
"37077","Granville County, NC","242","202","39","1",".",".",".","105","58","42.5",".",".","242",".","."
"37081","Guilford County, NC","365","183","178","4",".",".",".","131","67","50",".",".","107","253","5"
"37087","Haywood County, NC","278","204","69","5",".",".",".","112","71","45",".",".","245","33","."
"37095","Hyde County, NC","116","103","13",".",".",".",".","65","51","26",".",".",".","116","."
"37101","Johnston County, NC","365","240","124","1",".",".",".","115","60","44",".",".","118","247","."
"37107","Lenoir County, NC","305","272","32","1",".",".",".","105","51","39",".",".","244",".","61"
"37109","Lincoln County, NC","244","202","42",".",".",".",".","97","58","43",".",".","244",".","."
"37113","Macon County, NC","361","342","19",".",".",".",".","93","46","34",".",".","361",".","."
"37117","Martin County, NC","244","230","14",".",".",".",".","77","47","36",".",".","244",".","."
"37119","Mecklenburg County, NC","365","174","185","6",".",".",".","150","71","51",".","2","143","220","."
"37121","Mitchell County, NC","353","281","71","1",".",".",".","104","55","33",".",".",".","353","."
"37123","Montgomery County, NC","363","200","160","3",".",".",".","134","63","48",".",".","107","256","."
"37129","New Hanover County, NC","362","237","124","1",".",".",".","142","62","44",".",".","86","276","."
"37131","Northampton County, NC","365","256","108","1",".",".",".","134","60","37",".","8",".","357","."
"37145","Person County, NC","244","221","22","1",".",".",".","101","50","41",".",".","244",".","."
"37147","Pitt County, NC","365","256","107","2",".",".",".","118","60","42",".",".","116","249","."
"37157","Rockingham County, NC","245","212","32","1",".",".",".","108","58","43",".",".","245",".","."
"37159","Rowan County, NC","363","210","150","3",".",".",".","122","66","47",".",".","168","195","."
"37173","Swain County, NC","365","267","96","2",".",".",".","115","59","41",".",".","137","228","."
"37179","Union County, NC","245","201","43","1",".",".",".","101","67","43",".",".","245",".","."
"37183","Wake County, NC","365","190","170","5",".",".",".","130","66","49",".",".","102","263","."
"37199","Yancey County, NC","240","179","60","1",".",".",".","101","65.5","45",".",".","240",".","."
