"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","Hazardous","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days PM2.5","# Days PM10"
"37003","Alexander County, NC","245","212","33",".",".",".",".","80","54","41",".",".","245",".","."
"37011","Avery County, NC","364","331","33",".",".",".",".","74","50","40",".",".","348","16","."
"37021","Buncombe County, NC","365","278","87",".",".",".",".","81","57","41",".",".","117","248","."
"37027","Caldwell County, NC","243","219","24",".",".",".",".","77","50","40",".",".","243",".","."
"37031","Carteret County, NC","352","337","15",".",".",".",".","97","47","35",".",".","352",".","."
"37033","Caswell County, NC","250","240","10",".",".",".",".","80","47","38",".",".","244",".","6"
"37035","Catawba County, NC","344","197","147",".",".",".",".","94","61","46",".",".",".","344","."
"37051","Cumberland County, NC","365","227","137","1",".",".",".","107","64","44",".",".","119","246","."
"37057","Davidson County, NC","343","190","153",".",".",".",".","97","62","47",".",".",".","343","."
"37063","Durham County, NC","365","160","204",".","1",".",".","175","64","52",".",".","64","301","."
"37065","Edgecombe County, NC","363","292","71",".",".",".",".","90","55","38",".",".","165","198","."
"37067","Forsyth County, NC","365","201","161","3",".",".",".","124","66","48",".",".","119","246","."
"37075","Graham County, NC","245","213","32",".",".",".",".","90","54","42",".",".","245",".","."
"37077","Granville County, NC","242","237","5",".",".",".",".","67","46","38",".",".","242",".","."
"37081","Guilford County, NC","365","245","120",".",".",".",".","100","62","44",".",".","151","212","2"
"37087","Haywood County, NC","283","229","54",".",".",".",".","93","61","43",".",".","240","43","."
"37095","Hyde County, NC","107","102","5",".",".",".",".","56","43","22",".",".",".","107","."
"37099","Jackson County, NC","100","75","25",".",".",".",".","73","56","37.5",".",".",".","100","."
"37101","Johnston County, NC","365","240","125",".",".",".",".","97","60","44",".",".","96","269","."
"37107","Lenoir County, NC","306","284","22",".",".",".",".","97","49","34",".",".","238",".","68"
"37109","Lincoln County, NC","243","205","38",".",".",".",".","97","58","42",".",".","243",".","."
"37113","Macon County, NC","359","347","12",".",".",".",".","67","44","30",".",".","359",".","."
"37117","Martin County, NC","296","291","5",".",".",".",".","74","46","32",".",".","238",".","58"
"37119","Mecklenburg County, NC","365","188","175","2",".",".",".","128","67","49",".",".","102","263","."
"37121","Mitchell County, NC","356","296","60",".",".",".",".","82","53","31",".",".",".","356","."
"37123","Montgomery County, NC","365","257","108",".",".",".",".","80","58","43",".",".","125","240","."
"37129","New Hanover County, NC","360","286","74",".",".",".",".","93","55","40",".",".","101","259","."
"37131","Northampton County, NC","363","270","93",".",".",".",".","94","57","34",".","4",".","359","."
"37145","Person County, NC","245","220","25",".",".",".",".","90","51","41",".",".","245",".","."
"37147","Pitt County, NC","360","288","72",".",".",".",".","81","55","39",".",".","129","231","."
"37157","Rockingham County, NC","239","200","39",".",".",".",".","90","58","43",".",".","239",".","."
"37159","Rowan County, NC","364","244","120",".",".",".",".","87","63","44",".",".","171","193","."
"37173","Swain County, NC","354","261","92","1",".",".",".","147","58","40",".",".","199","155","."
"37179","Union County, NC","244","209","34","1",".",".",".","101","58","42",".",".","244",".","."
"37183","Wake County, NC","365","199","166",".",".",".",".","96","65","48",".","1","102","262","."
"37199","Yancey County, NC","240","186","54",".",".",".",".","90","59.5","44",".",".","240",".","."
