"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","Hazardous","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days PM2.5","# Days PM10"
"37003","Alexander County, NC","305","274","31",".",".",".",".","80","51","39",".",".","245",".","60"
"37011","Avery County, NC","363","333","30",".",".",".",".","77","49","40",".",".","349","14","."
"37021","Buncombe County, NC","365","277","88",".",".",".",".","84","55","42",".",".","145","220","."
"37027","Caldwell County, NC","243","214","29",".",".",".",".","74","54","42",".",".","243",".","."
"37031","Carteret County, NC","259","239","20",".",".",".",".","80","50","37",".",".","259",".","."
"37033","Caswell County, NC","245","236","9",".",".",".",".","64","47","39",".",".","245",".","."
"37035","Catawba County, NC","361","215","146",".",".",".",".","74","59","44",".",".",".","361","."
"37051","Cumberland County, NC","363","236","127",".",".",".",".","84","61","44",".",".","150","210","3"
"37057","Davidson County, NC","350","199","151",".",".",".",".","92","61","47",".",".",".","350","."
"37063","Durham County, NC","364","207","157",".",".",".",".","87","60","46.5",".",".","136","228","."
"37065","Edgecombe County, NC","363","275","88",".",".",".",".","71","55","40",".",".","132","231","."
"37067","Forsyth County, NC","365","175","190",".",".",".",".","97","66","51",".","6","110","249","."
"37075","Graham County, NC","245","191","54",".",".",".",".","97","61","44",".",".","245",".","."
"37077","Granville County, NC","240","195","45",".",".",".",".","87","62.5","44",".",".","240",".","."
"37081","Guilford County, NC","365","244","121",".",".",".",".","90","61","44",".",".","174","177","14"
"37087","Haywood County, NC","276","211","65",".",".",".",".","97","64","45",".",".","244","32","."
"37095","Hyde County, NC","102","98","4",".",".",".",".","63","42","24",".",".",".","102","."
"37099","Jackson County, NC","103","85","18",".",".",".",".","66","54","34",".",".",".","103","."
"37101","Johnston County, NC","363","224","139",".",".",".",".","87","60","46",".",".","100","263","."
"37107","Lenoir County, NC","237","205","32",".",".",".",".","87","54","42",".",".","237",".","."
"37109","Lincoln County, NC","243","178","65",".",".",".",".","97","64","44",".",".","243",".","."
"37113","Macon County, NC","358","343","15",".",".",".",".","87","46","33",".",".","358",".","."
"37117","Martin County, NC","295","261","34",".",".",".",".","74","51","40",".",".","237",".","58"
"37119","Mecklenburg County, NC","365","161","194","10",".",".",".","136","71","52",".",".","139","226","."
"37121","Mitchell County, NC","333","290","43",".",".",".",".","63","52","29",".",".",".","333","."
"37123","Montgomery County, NC","365","256","109",".",".",".",".","71","58","44",".",".","142","223","."
"37129","New Hanover County, NC","348","305","43",".",".",".",".","80","53","36.5",".",".","209","139","."
"37131","Northampton County, NC","153","102","51",".",".",".",".","74","56","43",".","11",".","142","."
"37145","Person County, NC","244","200","44",".",".",".",".","80","58","44",".",".","244",".","."
"37147","Pitt County, NC","352","271","81",".",".",".",".","87","55","41",".",".","154","198","."
"37157","Rockingham County, NC","245","207","38",".",".",".",".","84","58","44",".",".","245",".","."
"37159","Rowan County, NC","365","276","89",".",".",".",".","100","67","44",".",".","319","46","."
"37173","Swain County, NC","362","259","103",".",".",".",".","90","56","42",".",".","118","244","."
"37179","Union County, NC","235","175","57","3",".",".",".","105","64","45",".",".","235",".","."
"37183","Wake County, NC","365","141","224",".",".",".",".","93","64","53","1",".","82","282","."
"37199","Yancey County, NC","244","191","53",".",".",".",".","87","64","45",".",".","244",".","."
